Time,Time Code,Country Name,Country Code, ,"Population, total [SP.POP.TOTL]",Net migration [SM.POP.NETM],Rural population [SP.RUR.TOTL],Urban population [SP.URB.TOTL]
,,,,Scale (Precision),Unit (0.0),Unit (0.0),Unit (0.0),Unit (0.0)
2021,YR2021,"Korea, Dem. People's Rep.",PRK,,26232534.0,-1585.0,9799950.0,16432584.0
2021,YR2021,"Korea, Rep.",KOR,,51769539.0,-16778.0,9621887.0,42147652.0
2021,YR2021,Kosovo,XKX,,1786079.0,-38584.0,,
2021,YR2021,Kuwait,KWT,,4360865.0,19678.0,0.0,4360865.0
2021,YR2021,Kyrgyz Republic,KGZ,,6851224.0,46208.0,4306268.0,2544956.0
2021,YR2021,Lao PDR,LAO,,7453194.0,-10305.0,4700059.0,2753135.0
2021,YR2021,Latvia,LVA,,1884490.0,-280.0,595103.0,1289387.0
2021,YR2021,Lebanon,LBN,,5718122.0,-27290.0,623676.0,5094446.0
2021,YR2021,Lesotho,LSO,,2261542.0,-3449.0,1594839.0,666703.0
2021,YR2021,Liberia,LBR,,5259323.0,-11852.0,2494339.0,2764984.0
2021,YR2021,Libya,LBY,,7135175.0,-694.0,1356111.0,5779064.0
2021,YR2021,Liechtenstein,LIE,,39182.0,187.0,33512.0,5670.0
2021,YR2021,Lithuania,LTU,,2808380.0,19657.0,891689.0,1916691.0
2021,YR2021,Luxembourg,LUX,,640064.0,8724.0,53305.0,586759.0
2021,YR2021,"Macao SAR, China",MAC,,682500.0,8572.0,0.0,682500.0
2021,YR2021,Madagascar,MDG,,29691083.0,-1480.0,18050100.0,11640983.0
2021,YR2021,Malawi,MWI,,20047258.0,-2666.0,16499896.0,3547362.0
2021,YR2021,Malaysia,MYS,,34282399.0,188506.0,7646346.0,26636053.0
2021,YR2021,Maldives,MDV,,516154.0,9412.0,304004.0,212150.0
2021,YR2021,Mali,MLI,,22388630.0,-22210.0,12386062.0,10002568.0
2021,YR2021,Malta,MLT,,518150.0,4638.0,26892.0,491258.0
2021,YR2021,Marshall Islands,MHL,,41367.0,-2016.0,9034.0,32333.0
2021,YR2021,Mauritania,MRT,,4734874.0,-1483.0,2077047.0,2657827.0
2021,YR2021,Mauritius,MUS,,1266334.0,-4324.0,749986.0,516348.0
2021,YR2021,Mexico,MEX,,127648148.0,-122791.0,24232724.0,103415424.0
2021,YR2021,"Micronesia, Fed. Sts.",FSM,,111624.0,-1190.0,85875.0,25749.0
2021,YR2021,Moldova,MDA,,2595809.0,-33405.0,1479663.0,1116146.0
2021,YR2021,Monaco,MCO,,38527.0,999.0,0.0,38527.0
2021,YR2021,Mongolia,MNG,,3383741.0,0.0,1056235.0,2327506.0
2021,YR2021,Montenegro,MNE,,625053.0,-2344.0,201105.0,423948.0
2021,YR2021,Morocco,MAR,,36954442.0,-47902.0,13279579.0,23674863.0
2021,YR2021,Mozambique,MOZ,,31707800.0,-23103.0,19776789.0,11931011.0
2021,YR2021,Myanmar,MMR,,53387102.0,-35370.0,36597926.0,16789176.0
2021,YR2021,Namibia,NAM,,2810548.0,31327.0,1320817.0,1489731.0
2021,YR2021,Nauru,NRU,,11709.0,-137.0,0.0,11709.0
2021,YR2021,Nepal,NPL,,29475010.0,130001.0,23282900.0,6192110.0
2021,YR2021,Netherlands,NLD,,17533044.0,106416.0,1302355.0,16230689.0
2021,YR2021,New Caledonia,NCL,,285214.0,-1181.0,80074.0,205140.0
2021,YR2021,New Zealand,NZL,,5111300.0,-14944.0,675254.0,4436046.0
2021,YR2021,Nicaragua,NIC,,6644741.0,-10383.0,2705938.0,3938803.0
2021,YR2021,Niger,NER,,24502140.0,-4405.0,20397787.0,4104353.0
2021,YR2021,Nigeria,NGA,,218529286.0,-86115.0,103263829.0,115265457.0
2021,YR2021,North Macedonia,MKD,,1837114.0,-5483.0,757148.0,1079966.0
2021,YR2021,Northern Mariana Islands,MNP,,46979.0,-1373.0,3810.0,43169.0
2021,YR2021,Norway,NOR,,5408320.0,19804.0,901946.0,4506374.0
2021,YR2021,Oman,OMN,,4500424.0,-16726.0,583075.0,3917349.0
2021,YR2021,Pakistan,PAK,,239477801.0,-565673.0,149817312.0,89660489.0
2021,YR2021,Palau,PLW,,17783.0,-21.0,3293.0,14490.0
2021,YR2021,Panama,PAN,,4345405.0,5473.0,1356853.0,2988552.0
2021,YR2021,Papua New Guinea,PNG,,10012896.0,10703.0,8665561.0,1347335.0
2021,YR2021,Paraguay,PRY,,6684182.0,-8226.0,2506836.0,4177346.0
2021,YR2021,Peru,PER,,33155882.0,41868.0,7128515.0,26027367.0
2021,YR2021,Philippines,PHL,,113100950.0,-85185.0,59169893.0,53931057.0
2021,YR2021,Poland,POL,,36981559.0,2251.0,14764887.0,22216672.0
2021,YR2021,Portugal,PRT,,10361831.0,69606.0,3435051.0,6926780.0
2021,YR2021,Puerto Rico (US),PRI,,3262711.0,-7410.0,209075.0,3053636.0
2021,YR2021,Qatar,QAT,,2504910.0,24501.0,18085.0,2486825.0
2021,YR2021,Romania,ROU,,19122059.0,-17731.0,8733236.0,10388823.0
2021,YR2021,Russian Federation,RUS,,144746762.0,314112.0,36282223.0,108464539.0
2021,YR2021,Rwanda,RWA,,13355260.0,-21492.0,11009008.0,2346252.0
2021,YR2021,Samoa,WSM,,213779.0,-2860.0,175850.0,37929.0
2021,YR2021,San Marino,SMR,,34252.0,-368.0,815.0,33437.0
2021,YR2021,Sao Tome and Principe,STP,,221961.0,-782.0,55328.0,166633.0
2021,YR2021,Saudi Arabia,SAU,,30784383.0,-106287.0,4769117.0,26015266.0
2021,YR2021,Senegal,SEN,,17220867.0,25519.0,8851526.0,8369341.0
2021,YR2021,Serbia,SRB,,6834326.0,-8974.0,2962612.0,3871714.0
2021,YR2021,Seychelles,SYC,,99258.0,2086.0,41716.0,57542.0
2021,YR2021,Sierra Leone,SLE,,8094602.0,-1544.0,4583811.0,3510791.0
2021,YR2021,Singapore,SGP,,5453566.0,-44030.0,0.0,5453566.0
2021,YR2021,Sint Maarten (Dutch part),SXM,,41571.0,498.0,0.0,41571.0
2021,YR2021,Slovak Republic,SVK,,5447247.0,-8172.0,2515539.0,2931708.0
2021,YR2021,Slovenia,SVN,,2108079.0,2477.0,939634.0,1168445.0
2021,YR2021,Solomon Islands,SLB,,762591.0,1499.0,570967.0,191624.0
2021,YR2021,Somalia,SOM,,17271431.0,35506.0,9200319.0,8071112.0
2021,YR2021,South Africa,ZAF,,61502603.0,458246.0,19774932.0,41727671.0
