object_type,Cultures/periods,count
bowl,Late Chalcolithic,1
bowl,Late Bronze Age IIb,1
bowl,Kerma,1
bowl,Kanbun Era,1
jar,Early Cypriot I,1
jar,Early Christian Period,1
jar,Early Bronze Age II,1
jar,Diaguita,1
jar,Daunian,1
jar,Cypro-Archaic II,1
jar,Cypro-Archaic I,1
jar,Cypro-Archaic,1
jar,Cypriot,1
jar,Chalcolithic,1
jar,Early Kofun,1
jar,Early Dynastic II,1
jar,Early Cypriot III,1
bowl,Lapui,1
bowl,Kushite,1
bowl,Kushano-Sasanian,1
bowl,Kofun Period,1
bowl,Khmer,1
bowl,Keros-Syros Culture,1
bowl,Kerma Moyen,1
jar,Faliscan,1
bowl,Jomon Period,1
bowl,Jiajing  ,1
bowl,Indus Valley Civilisation,1
bowl,Huaxtec,1
jar,Edomite,1
jar,Eastern Zhou dynasty,1
jar,Early Sasanian,1
bowl,Gupta,1
bowl,Guetar,1
jar,Kamakura Period,1
jar,Jomon Period  ,1
jar,Italic,1
jar,Indus Valley Civilisation,1
jar,Goryeo Dynasty,1
jar,Ghurid dynasty,1
jar,Late Bronze Age III,1
jar,Lapui,1
jar,Khmer,1
jar,Kerma Moyen,1
bowl,Hopewell,1
bowl,Holmul I,1
bowl,Hephthalite,1
bowl,Heian Period,1
bowl,Hallstatt B,1
bowl,Hallstatt A,1
bowl,Haftavan Period VIB,1
jar,Late Helladic IIIB2,1
bowl,Geometric Greek,1
bowl,Genroku Era,1
bowl,Gaya Kingdom,1
bowl,Frankish,1
bowl,First Dynasty of Ur,1
bowl,Faiyum Culture,1
jar,Late Cypriot,1
bowl,Early Intermediate,1
jar,Middle Cypriot II,1
jar,Middle Cycladic,1
jar,Middle Bronze Age II,1
jar,Middle Babylonian,1
jar,Liao dynasty,1
jar,Late Roman,1
jar,Late Neolithic,1
jar,Middle Minoan IIIB,1
jar,Middle Minoan IIIA,1
jar,Middle Kofun,1
bowl,Etrusco-Campanian,1
bowl,Early Minoan III,1
bowl,Early Minoan II,1
bowl,Early Minoan,1
jar,Namazga V,1
jar,Namazga II,1
bowl,Early Christian Period,1
bowl,Daunian,1
bowl,Daoguang,1
jar,Nabataean,1
jar,Mycenaean,1
jar,Muromachi Period,1
jar,Nuzi,1
bowl,Cypro-Geometric III,1
bowl,Cypro-Geometric I,1
bowl,Cypro-Archaic,1
bowl,Cypriot,1
bowl,Chancay,1
jar,Nara Period,1
jar,Qianlong,1
jar,Qatabanian,1
bowl,Central America Period V,1
bowl,Bunka Era,1
bowl,Buddhist,1
bowl,Badarian  ,1
bowl,Apulian,1
jar,Pottery Neolithic,1
jar,Post-Akkadian,1
jar,Phylakopi I Culture,1
jar,Phoenician,1
jar,Susa IV,1
jar,Susa II,1
jar,Sumerian,1
jar,Slav,1
jar,Samanid dynasty,1
jar,Safavid dynasty,1
jar,Rhodian,1
jar,Wadi Suq,1
jar,Urartian,1
jar,Umayyad dynasty,1
jar,Tongzhi,1
jar,Togau,1
bowl,Ancient Egypt,1
bowl,25th Dynasty,1
bowl,20th Dynasty,1
jar,Timurid dynasty,1
jar-sealing,5th Dynasty,1
jar-sealing,4th Dynasty,1
jar-sealing,11th Dynasty,1
jar-cover,Mesopotamian,1
jar,Yongzheng,1
jar,Xuande,1
jar,Western Jin dynasty,1
jar,Western Greek,1
jar,Warring States period,1
jerichopoint,Pre-Pottery Neolithic,1
javelin,Archaic Greek,1
javelin,Achaemenid,1
jarlet,Ming dynasty,1
jarlet,Abbasid dynasty,1
jar-stand,New Kingdom,1
jar-sealing,X-Group Culture,1
jar-sealing,Roman Period,1
jar-sealing,Napatan,1
jar-sealing,Early Dynastic III,1
jar-sealing,Early Dynastic,1
jewellery,Predynastic,1
jewellery,Pan Grave,1
jewellery,Naqada II,1
jewellery,Meroitic,1
jewellery,Late Medieval,1
jewellery,Late Helladic III,1
jewellery,Graeco-Roman,1
jewellery,Classical Greek,1
jewellery,Christian Period,1
jewellery,Archaic Period,1
jewellery,Ancient South Arabian,1
jewellery,12th Dynasty,1
jewellery-fitting,Pan Grave,1
jewellery-fitting,Middle Kingdom,1
jewellery-fitting,Late Period,1
jewellery-fitting,Late Helladic III,1
jewellery-fitting,Greek,1
jewellery-fitting,Ancient South Arabian,1
jewellery-box,Coptic,1
jewellery,X-Group Culture,1
jewellery,Third Intermediate,1
jewellery,Terminal Christian Period,1
jewellery,Tang dynasty,1
bowbrooch,Ostrogothic,1
jingle,Tang dynasty,1
jingle,Shang dynasty,1
jingle,Han dynasty,1
jinbaori,Momoyama Period,1
jia,Shang dynasty,1
jewellery-mould,Neo-Assyrian,1
jewellery-mould,Lydian,1
jewellery-mould,Early Byzantine,1
jewellery-mould,Early Bronze Age III,1
jewellery-mould,Akkadian,1
jewellery-makingequipment,Heisei Era,1
jue,Republic,1
jue,Kangxi,1
joss-stick-holder,Ming dynasty,1
joggi,Joseon Dynasty,1
jingle,Zhou dynasty,1
bowl,11th Dynasty,1
bowdrill,Ptolemaic,1
bowdrill,New Kingdom,1
bowdrill,Late Period,1
bowbrooch,Vandal,1
bowbrooch,Sarmatian,1
jug,Cypriot,1
jug,Anglo-Saxon,1
jug,Achaemenid,1
jug,6th Dynasty,1
jug,26th Dynasty,1
jug,20th Dynasty,1
jug,1st Dynasty,1
jug,13th Dynasty,1
jug,12th Dynasty,1
jue,Western Zhou dynasty,1
bow,New Kingdom,1
bow,Mughal dynasty,1
bow,Middle Kingdom,1
bow,Meroitic,1
jug,Early Minoan II,1
jug,Early Medieval,1
jug,Early Historic,1
jug,Early Cypriot I,1
jug,Early Bronze Age IV,1
jug,Early Anglo-Saxon,1
jug,Daunian,1
jug,Cypro-Classical II,1
jug,Cypro-Classical,1
jug,Graeco-Roman,1
jug,Frankish,1
jug,First Intermediate,1
jug,Faliscan,1
jug,Edomite,1
jug,Early Minoan III,1
bowbrooch,Late Roman,1
bowbrooch,Early Iron Age,1
bowbrooch,Balt,1
bow,Qing dynasty,1
bow,Predynastic,1
bow,Persian,1
bow,Parthian,1
jug,Late Anglo-Saxon,1
jug,Kofun Period,1
jug,Keros-Syros Culture,1
jug,Italic,1
jug,Israelite,1
jug,Iron Age III,1
jug,Iron Age I,1
jug,Hyksos,1
jug,Hittite,1
jug,Hallstatt A,1
jug,Halaf,1
jug,Late Period,1
jug,Late Helladic III,1
jug,Late Helladic IIB,1
jug,Late Helladic II,1
jug,Late Cypriot IIC,1
jug,Late Cypriot IIA-B,1
jug,Late Cypriot,1
boundary-stone,Middle Babylonian,1
boundary-stone,Mesopotamian,1
boundary-marker,Oscan,1
boundary-marker,Early Dynastic III,1
jug,Middle Bronze Age IIa,1
jug,Middle Bronze Age II,1
jug,Middle Bronze Age,1
jug,Meroitic,1
jug,Levantine,1
jug,Late Sasanian,1
jug,Middle Cypriot III,1
jug,Middle Cycladic III,1
bow,Joseon Dynasty,1
bow,Eskimo,1
bow,Early Dynastic III,1
bow,6th Dynasty,1
bow,18th Dynasty,1
bow,12th Dynasty,1
bottle,Roman Republican,1
jug,Ramesside,1
jug,Qajar dynasty,1
jug,Phylakopi I Culture,1
jug,Persian Period,1
jug,Pan Grave,1
jug,Orientalising Period,1
jug,Mughal dynasty,1
jug,Ming dynasty,1
jug,Slav,1
jug,Samarran,1
jug,Safavid dynasty,1
bottle,Yongzheng,1
bottle,X-Group Culture,1
bottle,Western Greek,1
bottle,Uruk,1
bottle,Tulunid dynasty,1
bottle,Tang dynasty,1
bottle,Southern Song dynasty,1
juglet,East Greek,1
juglet,Cypro-Geometric,1
juglet,Cypro-Archaic II,1
juglet,Attic,1
juglet,Archaic Greek,1
jug,Urartian,1
jug,Troy II,1
jug,Tang dynasty,1
jug,South Ionian,1
juglet,Middle Bronze Age II,1
juglet,Middle Bronze Age,1
juglet,Late Period,1
juglet,Late Helladic IIIA2,1
juglet,Late Cypriot IIA-B,1
juglet,Late Cypriot II,1
juglet,Late Cypriot I,1
juglet,Late Cypriot,1
juglet,Late Bronze Age II,1
juglet,Late Bronze Age I,1
juglet,Islamic,1
jumonjiyari,Edo Period,1
juglet,X-Group Culture,1
juglet,Second Intermediate,1
juglet,Predynastic,1
juglet,Persian Period,1
juglet,Parthian,1
juglet,New Kingdom,1
juglet,Nabataean,1
juglet,Middle Kingdom,1
juglet,Middle Cypriot I,1
juglet,Middle Cypriot,1
juglet,Middle Bronze Age IIb,1
kalpis,Attic,1
kalathos,Proto-Geometric,1
kalathos,Messapian,1
kalathos,Late Period,1
kalathos,Late Helladic IIIB,1
kalathos,Late Geometric IIb,1
kakemono-e,Meiji Era,1
kakemono-e,Keio Era,1
kakemono-e,Kaei Era,1
kakemono-e,Bunsei Era,1
kakemono-e,Ansei Era,1
kabuto,Muromachi Period,1
kabuto,Edo Period,1
kabin,Heisei Era,1
bottle,Mitannian,1
bottle,Ming dynasty  ,1
kantharos,Romano-British,1
kantharos,Roman,1
kantharos,Late Geometric IIb,1
kantharos,Late Geometric,1
kantharos,Apulian,1
kantharoidcup,Etruscan,1
kalpis,Etruscan,1
katana,Eisho Era,1
kataginu,Edo Period,1
kashkul,Safavid dynasty,1
kashira,Late Kofun,1
kashira,Edo Period,1
kashira,Early Kofun,1
bottle,Post-Meroitic,1
bottle,Post-Christian,1
bottle,Northern Song dynasty,1
bottle,New Kingdom,1
bottle,Nabataean,1
bottle,Muromachi Period,1
key,Carolingian,1
key,Ancient Egypt,1
key,18th Dynasty,1
kettle,Heisei Era,1
kendi,Ming dynasty,1
katana,Tenpo Era,1
katana,Taisho Era  ,1
katana,Momoyama Period,1
katana,Meiji Era   and mounting,1
katana,Meiji Era,1
katana,Keicho Era,1
katana,Genroku Era,1
katana,Enpo Era,1
key,Meroitic,1
key,Late Islamic,1
key,Late Christian Period,1
key,Islamic,1
key,Graeco-Roman,1
key,Early Christian Period,1
key,Early Byzantine,1
key,Coptic,1
key,Classic Christian Period,1
kiln,Late Medieval,1
kiln,Iron Age,1
kilij,Islamic,1
ki-uso,Heisei Era,1
khanjar,Qajar dynasty,1
key-ring,Heisei Era,1
key-ring,Early Anglo-Saxon,1
key-finger-ring,Romano-British,1
key,X-Group Culture,1
kimono,Edo Period,1
kilndebris,Medieval,1
kiln-support,Southern Song dynasty,1
kiln-support,Ptolemaic,1
kiln-furniture,Ptolemaic,1
kiln-furniture,Late Islamic,1
kiln-furniture,Graeco-Roman,1
kiln-furniture,Abbasid dynasty,1
kiln,Romano-British,1
kiln,Neolithic,1
knappingfragment,Palaeolithic,1
knappingfragment,Epi-palaeolithic,1
bottle,Middle Byzantine,1
bottle,Middle Bronze Age,1
bottle,Middle Assyrian,1
bottle,Mamluk dynasty,1
bottle,Late Roman,1
bottle,Late Medieval,1
bottle,Late Cypriot II,1
king-list,19th Dynasty,1
kimono,Taisho Era,1
knife,Early Kofun,1
knife,Early Byzantine,1
knife,Classic Maya,1
knife,Christian Period,1
knife,Christian,1
knife,Chalcolithic,1
knife,Celtic,1
knife,Carolingian,1
knife,Badarian  ,1
knife,Achaemenid,1
knife,4th Dynasty,1
knife,19th Dynasty,1
knife,13th Dynasty,1
kneebrooch,Romano-British,1
knife,Iron Age/Romano-British,1
knife,Iron Age II,1
knife,Iron Age I,1
knife,Indus Valley Civilisation,1
knife,Han dynasty,1
knife,Hallstatt,1
knife,Goryeo Dynasty,1
knife,First Intermediate,1
knife,Faiyum Culture,1
knife,Edomite,1
knife,Edo Period,1
knife,Eastern Zhou dynasty,1
knife,Early Medieval,1
bottle,Joseon Dynasty,1
bottle,Iron Age/Romano-British,1
bottle,Hopewell,1
knife,Late Islamic,1
knife,Late Helladic III,1
knife,Late Bronze Age III,1
knife,Late Bronze Age II,1
knife,Joseon Dynasty,1
knife,Jewish,1
knife,Mesolithic,1
knife,Livian,1
knife,Late Roman,1
knife,Late Predynastic,1
bottle,Late Bronze Age I,1
bottle,Kassite,1
bottle,Kangxi,1
bottle,Hellenistic,1
bottle,Gallo-Roman,1
bottle,Frankish,1
bottle,Etruscan,1
bottle,Edomite,1
bottle,Early Sasanian,1
bottle,Early Bronze Age I,1
knife,Naqada II,1
knife,Naqada,1
knife,Mughal dynasty,1
knife,Middle Stone Age,1
knife-sheath,Livian,1
knife-sheath,Early Anglo-Saxon,1
knife-sharpener,Late Period,1
knife-dagger,Bronze Age,1
knife-case,Late Medieval,1
knife,Vicus,1
knife,Republic   ? Published originally as Song Dynasty,1
knife,Pan Grave,1
knuckle-bone,Early Sasanian,1
knuckle-bone,Classical Greek,1
knuckle-bone,4th Dynasty,1
knuckle-bone,18th Dynasty,1
knout,Post-Christian,1
knout,Late Christian Period,1
knob,Late Christian Period,1
knob,Classic Christian Period,1
knob,Abbasid dynasty,1
knob,19th Dynasty,1
knife-sheath,Ottoman dynasty,1
knife-sheath,Ostrogothic,1
kohl-container,Middle Kingdom,1
kohl-bottle,Seljuq dynasty,1
kohl-bottle,Iron Age,1
kogai,Edo Period,1
kodogu,Tenpo Era,1
kodogu,Kaei Era,1
knuckle-bone,Seleucid Era,1
knuckle-bone,Roman Imperial,1
knuckle-bone,Roman,1
knuckle-bone,Qing dynasty,1
knuckle-bone,Greek,1
knuckle-bone,Graeco-Roman,1
kohl-pot,Coptic,1
kohl-pot,Bronze Age,1
kohl-pot,25th Dynasty,1
kohl-pot,12th Dynasty,1
kohl-jar,Ptolemaic,1
kohl-jar,Pan Grave,1
kohl-jar,New Kingdom,1
kohl-jar,Late Christian Period,1
kohl-jar,Dynastic,1
kohl-jar,6th Dynasty,1
kohl-container,Qajar dynasty,1
kohl-container,Ptolemaic,1
kohl-stick,Ottoman dynasty,1
kohl-stick,Middle Kingdom,1
kohl-stick,Late Christian Period,1
kohl-stick,Early Christian Period,1
kohl-stick,Christian Period,1
kohl-stick,Christian,1
kohl-stick,Ancient Egypt,1
kohl-stick,18th Dynasty,1
kohl-scoop,Graeco-Roman,1
kohl-pot,Third Intermediate,1
kohl-pot,Second Intermediate,1
kohl-pot,Ptolemaic,1
kotyle,Late Corinthian,1
kotyle,Euboean,1
kotyle,Apulian,1
koto,Edo Period,1
kothon,Middle Corinthian,1
kote,Edo Period,1
kosherseal,Jewish,1
komon,Showa Era,1
kohl-tube,Middle Kingdom,1
kohl-tube,Achaemenid,1
kohl-stick,X-Group Culture,1
kohl-stick,Roman Period,1
boss,Roman Period,1
boss,Roman,1
boss,Ptolemaic,1
krater,Edomite,1
krater,Early Dynastic,1
krater,Early Corinthian,1
krater,Early Bronze Age III,1
krater,Early Bronze Age I,1
krater,Archaic Greek,1
kotyliskos,Middle Corinthian,1
kotyle,Roman Imperial,1
kotyle,Proto-Corinthian,1
krater,Late Cypriot IIC,1
krater,Late Bronze Age IIb,1
krater,Late Bronze Age III,1
krater,Late Bronze Age I,1
krater,Laconian,1
krater,Iron Age I,1
krater,Iron Age,1
krater,Etruscan,1
bottle,Christian Period,1
bottle,Bronze Age,1
bottle,18th Dynasty,1
kudurru,Neo-Assyrian,1
krater,Western Greek,1
krater,South Ionian,1
krater,Rhodian,1
krater,Neo-Assyrian,1
krater,Middle Geometric II,1
krater,Middle Geometric,1
krater,Middle Bronze Age,1
krater,Late Helladic IIIC,1
krater,Late Geometric Ia,1
krater,Late Geometric IIa,1
krater,Late Geometric,1
kylix,Middle Corinthian,1
kylix,Late Minoan IIIA2,1
kylix,Late Helladic III,1
kylix,Iron Age,1
kylix,Hellenistic,1
kylix,Greek,1
kylix,East Greek,1
kylix,Early Corinthian,1
kylix,Corinthian,1
kylix,Boeotian,1
kyathos,Middle Cypriot,1
kyathos,Attic,1
kursi,Islamic,1
kukri,Islamic,1
lace-tag,Middle Anglo-Saxon,1
lace-tag,Medieval,1
label,Ottoman dynasty,1
label,New Kingdom,1
label,Neo-Assyrian,1
label,Late Uruk,1
label,Jemdet Nasr,1
label,Halaf,1
label,Early Dynastic III,1
label,Akkadian,1
label,1st Dynasty,1
kylix,Western Greek,1
kylix,Phoenician,1
ladle,Mogollon,1
ladle,Late Sasanian,1
ladle,Late Islamic,1
ladle,Late Helladic IIIB,1
ladle,Late Babylonian,1
ladle,Indus Valley Civilisation,1
ladle,Highland/Atlantic Watershed Period VI,1
ladle,Han dynasty,1
ladle,Graeco-Roman,1
ladle,Eastern Zhou dynasty,1
ladle,Early Cypriot III,1
ladle,Classic Christian Period,1
ladle,Byzantine,1
ladle,Ancient South Arabian,1
lamp,26th Dynasty,1
lagynos,Roman,1
lagena,Roman,1
lagena,Iron Age,1
ladle,Western Zhou dynasty,1
ladle,Showa Era,1
ladle,Shang dynasty,1
ladle,Qing dynasty,1
ladle,Ottoman dynasty,1
boss,Achaemenid,1
boss,18th Dynasty,1
borer,Wilton,1
borer,Ubaid,1
borer,Pan Grave,1
lamp,Bakun,1
lamp,Attic,1
lamp,Ancient South Arabian,1
lamp,Akkadian,1
lamp,East Greek,1
lamp,Early Anglo-Saxon,1
boss,Hallstatt,1
boss,Early Sasanian,1
boss,Early Christian Period,1
boss,Early Anglo-Saxon,1
boss,Celtic,1
lamp,Medieval,1
lamp,Levantine,1
lamp,Late Islamic,1
lamp,Late Bronze Age III,1
lamp,Ghaznavid dynasty,1
lamp,Edomite,1
borer,Late Period,1
borer,Bronze Age,1
boot,Meroitic,1
lamp,Phoenician,1
lamp,Persian Period,1
lamp,Old Babylonian,1
lamp,Middle Minoan III,1
lamp,Middle Minoan II,1
lamp,Middle Minoan I,1
lamp,Middle Byzantine,1
lamp,Umayyads of Spain,1
lamp,Timurid dynasty,1
lamp,Sasanian,1
lamp,Samanid dynasty,1
lamp,Sabaean,1
lamp,Roman Republican,1
borer,Old Kingdom,1
borer,Middle Stone Age,1
borer,Middle Palaeolithic,1
borer,Middle Bronze Age,1
borer,Mesopotamian,1
borer,Late Stone Age,1
lamp-ornament,Early Byzantine,1
lamp-mould,Ptolemaic,1
lamp-hook,Roman Imperial,1
lamp-holder,Roman Period,1
lamp-holder,Medieval,1
lamp-holder,Graeco-Roman,1
lamp-filler,Islamic,1
lamp-filler,Abbasid dynasty,1
lamp,X-Group Culture,1
lance,22nd Dynasty,1
lamp-stand,Song dynasty,1
lamp-stand,Seljuq dynasty,1
lamp-stand,Liao dynasty,1
lamp-stand,Late Roman,1
lamp-stand,Kangxi,1
lamp-stand,Hellenistic Period,1
lamp-stand,Fatimid dynasty,1
lamp-stand,Akkadian,1
lamp-ornament,Roman,1
book-label,18th Dynasty,1
book-cover,Timurid dynasty,1
book-cover,Safavid dynasty,1
book-cover,Qajar dynasty,1
book-cover,Persian,1
book-cover,Ottonian,1
lance,Old Kingdom,1
lance,Naqada II,1
lance,Late Neolithic,1
lance,Islamic,1
lance,Iron Age,1
lance,Edomite,1
lance,Classical World,1
lance,Bronze Age,1
lance,Aztec,1
lanx,Roman,1
lantern,Islamic,1
lantern,Abbasid dynasty,1
lance,Romano-British,1
boot,Joseon Dynasty,1
boot,Coptic,1
boot,Buddhist,1
bookbindersstamp,Middle Anglo-Saxon,1
book-mount,Medieval,1
book-mount,Late Medieval,1
book-mount,Anglo-Saxon,1
book-label,Tenmei Era,1
book-label,Heisei Era,1
leafpoint,Prehistoric,1
leafarrow-head,Prehistoric,1
leafarrow-head,Predynastic,1
leafarrow-head,Palaeolithic,1
leafarrow-head,Chalcolithic,1
leafarrow-head,Bronze Age,1
laurelleafpoint,Upper Palaeolithic,1
laurelleafpoint,Palaeolithic,1
laurelleafpoint,Early Bronze Age,1
latrine,Roman,1
lateraldoublebevelbasepoint,Magdalenian,1
lateralburin,Neolithic,1
latchet,Celtic,1
lei,Shang dynasty,1
leg-band,Bronze Age,1
lebesgamikos,Western Greek,1
lebesgamikos,Peucetian,1
lebesgamikos,Hellenistic,1
lebesgamikos,Etruscan,1
lebes,Western Greek,1
lebes,Etruscan,1
lebes,Apulian,1
leather-stamp,Late Medieval,1
leather-knife,Romano-British,1
leather-knife,Medieval,1
leafpoint,Upper Palaeolithic,1
lekythos,Italic,1
lekythos,Etruscan,1
lekythos,East Greek,1
lekythos,Daunian,1
lekythos,Campanian,1
lekanis,Greek,1
lekanis,Early Corinthian,1
lekanis,Classical Greek,1
lekanis,Boeotian,1
lekanis,Apulian,1
book-cover,Ancient Egypt,1
book-clasp,Late Medieval,1
book,Showa Era,1
levalloisblade,Palaeolithic,1
levalloisblade,Middle Stone Age,1
levalloisblade,Lower Palaeolithic,1
letter,Ottoman dynasty,1
letter,Coptic,1
lepaste,Western Greek,1
lekythos,South Ionian,1
lekythos,Late Period,1
lekythos,Late Geometric IIb,1
lever,New Kingdom,1
levalloisflake,Neolithic,1
levalloisflake,Middle Bronze Age,1
levalloisflake,Late Neolithic,1
levalloiscore,Middle Stone Age,1
book-cover,Ming dynasty,1
book-cover,Late Christian Period,1
libation-stand,Napatan,1
libation-ladle,Roman Period,1
libation-jug,Roman Period,1
libation-jug,Late Predynastic,1
libation-bowl,Late Period,1
libation-bowl,26th Dynasty,1
libation-bowl,19th Dynasty,1
lian,Qing dynasty,1
lian,Han dynasty,1
li,Zhou dynasty,1
li,Western Zhou dynasty,1
lid,Akkadian,1
lid,26th Dynasty,1
lid,12th Dynasty,1
libation-vase,Late Period,1
libation-tank,Ramesside,1
libation-tank,New Kingdom,1
libation-tank,25th Dynasty,1
bolt,Ptolemaic,1
bolt,Anglo-Saxon,1
bolt,Ancient Egypt,1
bolsal,Classical Greek,1
lid,Joseon Dynasty,1
lid,Han dynasty,1
lid,Hallstatt A,1
lid,Graeco-Roman,1
lid,Etruscan,1
lid,East Greek Archaic I,1
lid,Early Byzantine,1
lid,Coptic,1
lid,Colonial,1
lid,Mamluk dynasty,1
lid,Late Predynastic,1
lid,Late Medieval,1
book,Qianlong,1
book,Persian,1
book,Ottoman dynasty,1
book,Late Islamic,1
book,Joseon Dynasty,1
book,Christian,1
boning-rod,Graeco-Roman,1
lid,Shang dynasty,1
lid,Roman Period,1
lid,Roman Imperial,1
lid,Proto-Etruscan,1
lid,Prehistoric,1
lid,Post-Medieval,1
lid,Northern Song dynasty,1
lid,Neolithic/Bronze Age,1
lid,Neolithic,1
lid,Messapian,1
lid,Medieval,1
lid,Maya,1
limace,Lower Palaeolithic,1
limace,Epi-palaeolithic,1
lightingequipment,Romano-British,1
liding,Western Zhou dynasty,1
liddedbowl,Middle Islamic,1
lid,Zhou dynasty,1
lid,Yongzheng,1
lid,X-Group Culture,1
lid,Timurid dynasty,1
lid,Terminal Christian Period,1
lid,Southern Song dynasty,1
lid,Six Dynasties,1
link,Phoenician,1
link,Hellenistic,1
link,Bronze Age,1
linch-pin,Zhou dynasty,1
linch-pin,Shang dynasty,1
limace,Palaeolithic,1
lip-cup,East Greek,1
lintel,Sui dynasty,1
lintel,Romano-British,1
lintel,Parthian,1
lintel,Old Kingdom,1
lintel,New Kingdom,1
lintel,Late Classic Maya,1
lintel,Late Classic,1
lintel,Han dynasty,1
lintel,Early Christian Period,1
lintel,5th Dynasty,1
lintel,30th Dynasty,1
lintel,21st Dynasty,1
lock,Abbasid dynasty,1
load-carrier,New Kingdom,1
liubo-piece,Han dynasty,1
lissoirsmoothingtool,Neolithic/Bronze Age,1
lissoirsmoothingtool,Magdalenian,1
lip-plug,Nubia and Sudan periods and cultures,1
lip-plug,Neolithic,1
lip-plug,Early Neolithic,1
lip-plug,Classic Maya,1
lip-ornament,Pottery Neolithic,1
lip-ornament,Neo-Assyrian,1
lock,Qing dynasty,1
lock,Ptolemaic,1
lock,Phoenician,1
lock,Napatan,1
lock,Ming dynasty,1
lock,Middle Anglo-Saxon,1
lock,Meroitic,1
lock,Late Christian Period,1
lock,Early Anglo-Saxon,1
lock,Coptic,1
bodkin,Late Period,1
bodkin,Christian Period,1
bodkin,1st Dynasty,1
bodkin,18th Dynasty,1
bodice,Jewish,1
bobbin,Romano-British,1
logboat,Medieval,1
logboat,Iron Age/Romano-British,1
logboat,Early Bronze Age,1
logboat,Anglo-Saxon,1
locket,Safavid dynasty,1
lock-ring,Late Bronze Age,1
lock,X-Group Culture,1
lock,Roman,1
loom-weight,Carolingian,1
loom-weight,Archaic Greek,1
loom-weight,19th Dynasty,1
loom,X-Group Culture,1
loom,Middle Kingdom,1
loin-cloth,New Kingdom,1
bodychain,Romano-British,1
body-plug,Han dynasty,1
bodkin,Romano-British,1
bodkin,Roman Period,1
bodkin,Roman,1
bodkin,Middle Anglo-Saxon,1
loom-weight,Kushite,1
loom-weight,Iron Age II,1
loom-weight,Iron Age I,1
loom-weight,Hellenistic,1
loom-weight,Halaf,1
loom-weight,Graeco-Roman,1
loom-weight,Early Bronze Age IV,1
loom-weight,Early Bronze Age II,1
loom-weight,Christian Period,1
loom-weight,Christian,1
loom-weight,Celtic,1
loom-weight,Seleucid Dynasty,1
loom-weight,Roman,1
loom-weight,Prehistoric,1
loom-weight,Persian-Hellenistic,1
loom-weight,Parthian,1
loom-weight,Middle Minoan III,1
loom-weight,Middle Minoan I,1
loom-weight,Middle Cypriot,1
loom-weight,Middle Bronze Age,1
loom-weight,Middle Anglo-Saxon,1
loom-weight,Levantine,1
loom-weight,Late Neolithic/Early Bronze Age,1
loom-weight,Late Christian Period,1
lotteryticket,Guangxu,1
lopas,East Greek,1
lopas,Classical Greek,1
lopas,Attic,1
loop,Romano-British,1
loop,Phoenician,1
loop,Ottoman dynasty,1
loop,Mesopotamian,1
loop,Latgalian,1
loop,Late Christian Period,1
loop,Iron Age II,1
loop,Iron Age,1
loop,Hittite,1
loop,Christian,1
lunula,Chalcolithic,1
lunch-box,Showa Era,1
lunch-box,Mamluk dynasty,1
lug,Romano-British,1
lug,Late Bronze Age,1
lug,Iron Age/Romano-British,1
lug,Bronze Age,1
lozenge-shapedbrooch,Middle Anglo-Saxon,1
lozenge-shapedbrooch,Early Anglo-Saxon,1
loutrophoros,Apulian,1
mace,Late Predynastic,1
mace,Late Islamic,1
mace,Late Babylonian,1
mace,Kassite,1
mace,Inca,1
mace,Finno-Ugrian,1
mace,Bronze Age,1
mace,Badarian,1
lyre,New Kingdom,1
lyre,Early Dynastic III,1
lyngbyaxe,Upper Palaeolithic,1
lydion,East Greek,1
lydion,Attic,1
lute,Zhou dynasty,1
boat,Roman,1
boat,Predynastic,1
boat,New Kingdom,1
boat,Meiji Era,1
board,Early Byzantine,1
board,Abbasid dynasty,1
mace,Samarran,1
mace,Old Elamite,1
mace,Naqada I,1
mace,Ming dynasty,1
mace,Meroitic,1
mace,Late Uruk,1
macehead,Late Cypriot,1
macehead,Early Bronze Age I,1
macehead,Early Bronze Age,1
macehead,Bronze Age,1
mace,Seljuq dynasty,1
mace,Sasanian,1
bobbin,Iron Age/Romano-British,1
bobbin,Anglo-Saxon,1
bobbin,Abbasid dynasty,1
bobbin,19th Dynasty,1
boat-fitting,Roman,1
boat-fitting,Meroitic,1
boat-fitting,Late Period,1
boat-fitting,26th Dynasty,1
boat-fitting,18th Dynasty,1
magicbowl,Ottoman dynasty,1
magicalmirror,Aztec,1
magicaldisc,Jewish,1
magatama,Neolithic,1
magatama,Early Kofun,1
macehead,Old Babylonian,1
macehead,Middle Neolithic,1
macehead,Mesopotamian,1
macehead,Mesolithic,1
macehead,Late Neolithic,1
manacle,Romano-British,1
mallet,Romano-British,1
mallet,Iron Age,1
mallet,Edo Period,1
mallet,Carolingian,1
mail-armour,Romano-British,1
mail-armour,Late Iron Age,1
mail-armour,Early Anglo-Saxon,1
mahjong-set,Qing dynasty,1
magicsquare,Islamic,1
magicbowl,Safavid dynasty,1
manuscript,New Kingdom,1
manuscript,Inju dynasty,1
manuscript,Goryeo Dynasty,1
manuscript,Christian,1
manuport,Romano-British,1
manuport,Middle Palaeolithic,1
mantle,Nabataean,1
mano,Taino,1
mano,Anasazi,1
manga,Reiwa Era,1
mask,Buddhist,1
mask,Archaic Greek,1
mask,Ansei Era,1
mask,Akkadian,1
