object_type,Cultures/periods,count
bottle,Romano-British,23
lamp,Roman Imperial,23
dagger,Middle Bronze Age,23
jug,Islamic,23
bowl,Neo-Assyrian,23
ring,Late Bronze Age,23
handscroll,Ming dynasty,23
textile,Meroitic,23
stemcup,Ming dynasty,23
seal-box,Romano-British,23
bowl,Heisei Era,23
belt-fitting,Early Anglo-Saxon,23
figure,Middle Kingdom,23
dagger,Late Neolithic,23
surimono,Meiji Era,23
necklace,18th Dynasty,23
jar,Neo-Assyrian,23
illustratedbook,Taisho Era,23
print,Kyowa Era,22
box,Ming dynasty,22
finger-ring,Roman,22
print,Meiwa Era,22
sidescraper,Lower Palaeolithic,22
sickle,Bronze Age,22
disc,Iron Age,22
microlith,Mesolithic,22
dagger,Iron Age,22
unguentarium,Roman,22
wallpanel,Neo-Assyrian,22
bowl,Ottoman dynasty,22
coin,Lombardic,22
point,Neolithic,22
box,Qing dynasty,22
figure,Buddhist,22
tine,Neolithic,22
figure,26th Dynasty,22
sword-sheath,Early Anglo-Saxon,22
fitting,Iron Age,22
retouchedflake,Lower Palaeolithic,22
sample,Islamic,22
newspaperperiodical,Taisho Era,22
bowl,Early Anglo-Saxon,22
drawing,Edo Period,22
dish,Song dynasty,22
magicalgem,Late Roman,22
dish,Roman,22
panel,Kushan,22
prism,Neo-Assyrian,22
vessel,Hellenistic,22
amulet,26th Dynasty,22
penannularbrooch,Celtic,22
jug,Iron Age,21
chopper,Palaeolithic,21
stamp-seal,Neo-Assyrian,21
coin,Kushan,21
artistpostcard,Meiji Era,21
plate,East Greek,21
harness-fitting,Iron Age,21
water-jar,Early Islamic,21
finger-ring,Early Anglo-Saxon,21
vessel,Chimu-Inca,21
spear-head,Romano-British,21
nodule,Lower Palaeolithic,21
banknote,Guangxu,21
jar,Bronze Age,21
incense-burner,Ming dynasty,21
painting,Kansei Era,21
levalloisflake,Middle Palaeolithic,21
scraper,Taino,21
lip-cup,Attic,21
scarab,26th Dynasty,21
pebble,Palaeolithic,21
finger-ring,Viking,21
flake,Taino,21
quern,Neolithic,21
plaque,Late Period,21
painting,Bunsei Era,21
vase,New Kingdom,21
backedbladelet,Mesolithic,20
stamp-seal,Jemdet Nasr,20
stamp-seal,Late Uruk,20
lamp,Late Roman,20
model,Middle Kingdom,20
tile,Ottoman dynasty,20
jar,18th Dynasty,20
belt-fitting,Merovingian,20
bowl,Achaemenid,20
bowl,18th Dynasty,20
scraper,Mesolithic,20
seal,Islamic,20
block,Neolithic,20
necklace,New Kingdom,20
endscraper,Upper Palaeolithic,20
bust,Roman,20
buckle,Romano-British,20
