object_type_clean,count
Scouring Brush,4
Scrap,1
Scraper,837
Scratcher,6
Screen,48
Screw,6
Screw Cutter,1
Screw Polisher,1
Screwclamp,2
Screwdriver,4
Screwextractingtool,1
Screwheadtool,1
Screwplate,5
Scribalinstrument Case,1
Scribalpalette,24
Scrimshaw,1
Scroll,46
Scroll Stand,1
Scroll Weight,3
Scrubber,2
Scrubbing Brush,2
Sculpture,415
Scythe,9
Seal,667
Seal Box,25
Seal Case,1
Seal Drag,4
Seal Hook,2
Seal Impression,64
Seal Indicator,1
Seal Lock,1
Seal Pendant,1
Seal Ring,9
Sealburse,1
Sealing,156
Sealstone,54
Seam Creaser,1
Seam Smoother,3
Seat,45
Seat Cover,2
Seax,8
Sector,8
Sedan Chairclock,1
Sedan Chairwatch,2
Seed Grinder,1
Self Windingwatch,21
Semi Cylindricalbrooch,1
Serape,17
Serjeantsring,13
Sermon Timer,1
Servilleta,20
Serving Fork,2
Serving Spoon,3
Sewing Box,1
Sewing Kit,3
Sewingmachine,2
Sextant,2
Shabti,186
Shabti Box,30
Shabti Coffin,14
Shabti Jar,2
Shabti Mould,3
Shackle,8
Shadowpuppet,42
Shaft,25
Shaker,1
Shamma,6
Shampoosample,3
Shamsa,1
Shamshir,3
Shank,10
Sharecertificate,4
Shark Rattle,1
Sharpener,11
Shaving Bowl,3
Shawl,97
Shawl Pin,5
Shawm,9
Shears,19
Sheath,276
Sheep Shears,1
Sheet,53
Shelf,2
Shelfclock,1
Shell Disc,1
Shell Ring Money,2
Shellring,24
Shelter,1
Shield,553
Shield Ornament,9
Shield Strengthener,1
Shift,8
Shin Guard,1
Shini E,16
Ship,5
Shirazaya,1
Shirt,271
Shoe,132
Shoe Buckle,28
Shoe Cover,2
Shoe Horn,3
Shofar,2
Shop Sign,2
Shopping Basket,2
Shorts,4
Shortsword,4
Shot,1
Shoulder Bag,29
Shoulder Cloth,7
Shoulder Piece,1
Shovel,10
Shredder,2
Shrine,26
Shrine Cloth,1
Shroud,21
Shroud Weight,2
Shunga,17
Shuttle,67
Shuttle Case,1
Shuttlecock,3
Sianacup,20
Sickle,142
Sickle Sword,18
Sidescraper,173
Sieve,48
Sieve Holder,1
Sifter,9
Sign Board,3
Signet Ring,107
Silapaaq,1
Silpae,1
Sinew Twister,5
Singlestick,1
Singleyearcalendarmedal,11
Sinker,72
Siphon,6
Sistrum,8
Sitar,2
Situla,17
Six Hour Dialwatch,1
Skate,9
Skein Winder,1
Skeiner,1
Skeletonclock,2
Skeletonisedwatch,17
Sketch Book,12
Skewer,22
Ski Stick,2
Skidoo,1
Skillet,33
Skimmer,1
Skirt,541
Skirtlength,7
Skitnote,28
Skull Cap,33
Skull Rack,1
Skullwatch,4
Skyphos,79
Slab,36
Slag,53
Slat,5
Sledge,24
Sledge Hammer,1
Sleeping Bag,1
Sleeping Mat,38
Sleeve,35
Sleeve Weight,3
Sleevefastener,5
Slenthem Beater,1
Slicer,5
Slide Rest,1
Sliderule,8
Slidetongs,4
Sling,109
Sling Shot,67
Slip,4
Slipper,30
Slit Drum,13
Small Longbrooch,1
Smock,3
Smoking Pipe,760
Smoking Pipe Bag,10
Smoking Pipe Box,1
Smoking Pipe Case,19
Smoking Pipe Cleaner,6
Smoking Pipe Cover,1
Smoking Pipe Holder,4
Smoking Pipe Tamper,1
Smokingequipment,4
Smoother,19
Smoothingiron,9
Snaffle,3
Snake Trap,1
Snare,3
Snarlingiron,1
Snow Shoe,6
Snow Spectacles,2
Snuff Bottle,58
Snuff Box,154
Snuff Container,33
Snuff Flask,8
Snuff Grater,2
Snuff Grinder,1
Snuff Inhaler,5
Snuff Jar,1
Snuff Rasp,2
Snuff Vessel,1
Snuffequipment,1
Snuffer,10
Soapsample,1
Sock,74
Socket,2
Socketedaxe,223
Solar Siderealwatch,1
Soul Catcher,2
Soulhouse,5
Soup Bowl,16
Soup Plate,16
Soup Spoon,2
Soup Tureen,2
Souscriptionwatch,6
Souvenir,16
Sower,2
Spacer,5
Spacer Bar,10
Spacer Bead,26
Spacer Plate,7
Spade,48
Spadedrillbit,2
Spanishmorion,2
Spatha,1
Spats,1
Spatula,95
Spear,908
Spear Guard,7
Spear Gun,1
Spear Head,689
Spear Rest,6
Spear Sheath,3
Spear Straightener,2
Spearthrower,109
Specimen,38
Spectacles,5
Spectacles Case,5
Spice Box,8
Spice Jar,3
Spike,58
Spill,1
Spill Vase,5
Spindle,209
Spindle Whorl,307
Spinning Bowl,1
Spinning Frame,1
Spinning Toolimplement,1
Spinning Top,47
Spinning Wheel,2
Spinningequipment,5
Spit,6
Spittoon,17
Split Secondschronograph,2
Splitbasepoint,2
Splitter,2
Spokeshave,7
Sponge,7
Spontoon,1
Spool,25
Spoon,673
Spoon Case,1
Spoon Holder,1
Spoon Mould,1
Spoon Rack,2
Spoon Tray,6
Spoon Warmer,1
Spout,21
Sprayskirt,2
Spring,8
Spring Drivenclock,2
Spring Reel,1
Springbalance,1
Sprinkler,14
Sprossenbrooch,1
Spud,4
Spur,54
Spur Guard,2
Spy Glass,3
Square Headedbrooch,27
Squatjar,4
Squatlekythos,10
Squeeze Mould,36
Squeezer,2
Squid Lure,3
Squirrel Trap,1
Squirt Ring,1
Sruva,1
Stackfreedwatch,12
Staff,473
Staffgod,7
Stair Riser,4
Stake,21
Stall Plate,1
Stamnos,40
Stamp,158
Stamp Cylinderseal,1
Stamp Seal,533
Stand,76
Stand Fitting,6
Standard,15
Standclock,1
Standingcup,31
Standingstone,4
Staple,38
Starwheel,2
Statue,327
Statuette,255
Stave,25
Steamer,11
Steaming Basket,2
Steelyard,31
Steelyard Case,4
Steelyard Weight,18
Steeple Cup,2
Stela,309
Stemcup,52
Stemlesscup,2
Stemmedbeaker,2
Stemmedbowl,12
Stemmeddish,9
Stencil,9
Step,1
Step Ladder,1
Stereoscopephotograph,53
Stick,175
Sticker,4
Stiletto,2
Still,2
Stilt,3
Stirrer,39
Stirrup,65
Stirrupcup,1
Stirrupjar,43
Stirrupjug,1
Stocking,3
Stone Chisel,1
Stool,244
Stop Watch,36
Stopcock,1
Stopper,190
Storage Bag,6
Storage Basket,27
Storage Jar,149
Storage Jarrn,1
Storage Vessel,22
Story Knife,1
Storyboard,4
Stove,16
Stove Tile,8
Straight Edge,7
Strainer,101
Strap,72
Strap End,122
Strap Fitting,129
Strap Fitting Blank,1
Strap Union,6
Straw Splitter,1
Streamer,4
Stretcher,5
Strigil,18
Strike A Light,25
Strikingclock,37
Strikingwatch,1
String,70
String Winder,4
Stringofcash,1
Strip,24
Strop,1
Stud,139
Stump Cover,1
Stupa,35
Stupa Finial,2
Stylus,38
Subscription Ticket,1
Sugar Basin,2
Sugar Bowl,51
Sugar Box,5
Sugar Hammer,1
Sugar Jar,2
Sugar Shaker,2
Sugar Tongs,1
Sugoroku,5
Suit,11
Suiteki,3
Sun And Moonwatch,7
Sun Hat,6
Sun Screen,1
Sundial,12
Sundialwatch,4
Sunshade,7
Supporting Armbrooch,2
Surf Board,2
Surgicalinstrument,5
Surgicalknife,1
Surimono,454
Survey Protractor,1
Survey Set,2
Surveyinstrument,1
Suspension Buckle,3
Suspension Element,3
Suspension Loop,10
Suspension Mount,1
Suspension Plate,5
Suspension Ring,7
Sutra,1
Sutra Holder,1
Sutra Tray,1
Sutra Wrapper,3
Suyari,4
Suzuribako,14
Swagger Stick,4
Swastikabrooch,2
Swatter,1
Sweet Dish,3
Sweetmeat Box,1
Sweetmeat Dish,5
Sweetmeat Glass,2
Sweetmeat Stand,3
Sweetmeat Tongs,1
Sweetmeat Tray,6
Swift,1
Swingtool,1
Switch,8
Swivel,8
Swizzle Stick,5
Sword,803
Sword Belt,9
Sword Case,1
Sword Harness,14
Sword Ornament,1
Sword Rack,3
Sword Sheath,187
Swordclock,1
Swordequipment,1
Swordpommel,4
Swordscabbardfitting,1
Swordsling,2
Syllabub Glass,1
Symbolstone,1
T Shirt,12
Tabernacle,5
Table,39
Table Cloth,11
Table Knife,3
Table Lamp,1
Table Mat,3
Table Ornament,1
Table Screen,7
Tableclock,20
Tablet,1393
Tabletcase,56
Tabot,2
Tabua,1
Tabularscraper,5
Tachi,13
Tachymeter,1
Tag,14
Tail Piece,13
Takatsuki,11
Talisman,10
Tally,21
Tambourine,9
Tang,3
Tangedarrow Head,118
Tankard,109
Tanto,27
Tanzaku,6
Tap,3
Tape,2
Taper Holder,5
Tapestry,20
Tapestry Needle,3
Tapping Implement,3
Tare,1
Target,2
Tassel,33
Tasset,4
Tattooing Instrument,26
Tattooing Mallet,6
Tattooing Needle,8
Tattooing Stamp,6
Tattooingequipment,3
Taukiwauku,1
Taverntoken,34
Tazza,70
Tea Bowl,102
Tea Brick,3
Tea Caddy,23
Tea Cosy,3
Tea Cup,40
Tea Funnel,1
Tea Infuser,1
Tea Jar,40
Tea Mill,1
Tea Packet,4
Tea Set,20
Tea Spatula,1
Tea Spoon,3
Tea Strainer,2
Tea Tray,5
Tea Whisk,3
Teaequipment,2
Teahouse,1
Teapot,248
Teapot Stand,1
Telephone,1
Telephonecard,24
Telephonetoken,3
Tema,1
Template,9
Temple,2
Temple Bell,5
Temple Hanging,1
Temple Relief,53
Temple Vase,4
Temporal Ring,1
Ten Minute Repeatingwatch,1
Tent,15
Tent Band,5
Tent Cloth,13
Tent Hanging,3
Tent Peg,8
Tent Pole,3
Terminal,41
Terrestrialglobe,3
Terret,33
Tessera,19
Tether,3
Textile,933
Textileband,6
Textilecrafts,2
Thang Kha,8
Thatching Needle,6
Theatre Ticket,26
Theatremask,17
Thermometer,1
Thimble,23
Thimble Holder,3
Thirty Hourclock,5
Thirty Hourwatch,11
Thistlebrooch,7
Thong,29
Thong Smoother,1
Thread,42
Thread Puller,2
Thread Winder,1
Three Sidedprism,4
Thresher,1
Threshing Bat,1
Threshing Board,1
Threshing Fork,1
Threshing Stick,2
Throne,11
Throw,2
Throwing Club,23
Throwing Knife,73
Throwing Ring,1
Throwing Spear,3
Throwing Stick,39
Throwing Stone,1
Thumb Guard,7
Thumb Ring,18
Thumb Screw,2
Thumbnailendscraper,43
Thumbpot,2
Thurible,2
Thymiaterion,3
Tiara,6
Ticket,74
Ticket Clock,2
Tie,30
Tie Pin,3
Tigersclaw,2
Tiki,14
Tile,489
Tile Mould,1
Tile Stamp,1
Time Beater,2
Timepiece,21
Timer,9
Tinder,31
Tinder Box,26
Tine,35
Tippet,3
Tiputa,1
Tiqa Stick,6
Title Page,3
Tjuringa,26
Toaster,1
Tobacco Bag,8
Tobacco Basket,3
Tobacco Box,49
Tobacco Case,4
Tobacco Container,9
Tobacco Flask,1
Tobacco Grinder,1
Tobacco Holder,2
Tobacco Jar,4
Tobacco Pipe,495
Tobacco Pipe Case,5
Tobacco Pipe Pin,3
Tobacco Pipe Stopper,6
Tobacco Pot,5
Tobacco Pouch,41
Tobacco Press,1
Tobaccosample,57
Tobe,10
Tobyjug,2
Tocoyal,1
Toe Ring,16
Toggle,93
Toilet Bottle,7
Toilet Box,11
Toilet Case,7
Toilet Chest,1
Toilet Pot,6
Toilet Set,24
Toilet Spoon,8
Toilet Toolimplement,35
Toiletcosmeticequipment,10
Token,5965
Token Matrix,1
Token Mould,3
Tomahawk,3
Tomahawkpipe,21
Tomb,3
Tomb Painting,21
Tomb Relief,67
Tombstone,37
Tongs,56
Tonkotsu,8
Tool Bag,1
Tool Basket,1
Tool Box,3
Tool Mould,1
Tool Rest,12
Toolimplement,1546
Toolimplement Case,1
Toolimplement Holder,2
Tooth Brush,6
Tooth Pick,3
Tooth Pick Holder,2
Tooth Stick,6
Top Hat,3
Topknot,2
Topo,9
Torahbinder,1
Torahpointer,2
Torahshield,2
Torc,96
Torch,14
Torch Holder,3
Torpedojar,1
Torture Instrument,1
Totem Pole,12
Tourbillonwatch,2
Tournette,3
Towel,31
Toy,316
Toymoney,9
Toytheatre,1
Toywatch,1
Tract,10
Traction Hook,1
Trade Card,13
Trade Token,1
Train,2
Tramticket,4
Tranchetaxe,7
Tranchetaxeflake,4
Transparency,17
Transport Ticket,18
Transportamphora,127
Transporttoken,3
Transversearrow Head,140
Transverseburin,8
Transversescraper,21
Trap,34
Trapeze,1
Trappings,1
Travellerscheque,3
Travellingclock,1
Tray,195
Tray Cover,5
Treadle,1
Treasurynote,1
Trefoil Mouthoinochoe,3
Trefoilbrooch,2
Trencher,6
Trestle,1
Trial Piece,9
Tribrach,1
Trident,4
Trinket Box,3
Tripod,40
Tripod Bowl,22
Tripod Lebes,1
Tripod Pitcher,5
Tripodpyxis,2
Tripodstand,16
Triptych,24
Triptychprint,233
Trisula,4
Trivet,8
Trough,16
Trousers,164
Trowel,5
Trozella,5
Trueing Tool,1
Truingcalipers,1
Trulla,4
Trumpet,136
Trumpetbrooch,38
Truncated Facettedflake,1
Truncatedbackedblade,4
Truncatedbackedbladelet,11
Truncatedblade,20
Truncatedbladelet,5
Truncheon,4
Trunk,7
Tsa Tsa,6
Tsag Li,1
Tsuba,301
Tsuki,21
Tsuta,1
Tub,5
Tube,136
Tui,1
Tukada,1
Tula,3
Tumbler,4
Tumpline,15
Tunic,78
Tunjo,2
Turban,28
Turban Hook,2
Turban Ornament,3
Turbancloth,8
Tureen,12
Turkish Marketwatch,14
Turns,1
Turnsbow,1
Turretclock,1
Tutulusbrooch,1
Tuyere,26
Tweezers,74
Twine,22
Twistdrillbit,1
Twister,2
Tyg,19
Tyre,10
Tzute,22
Uchikake,2
Uki E,1
Ulu,27
Umbrella,18
Umbrella Case,1
Umbrella Finial,7
Umiak,4
Uncu,3
Underbelt,3
Underdress,5
Undergarment,4
Underpants,13
Undershirt,7
Underskirt,15
Unguent Bottle,10
Unguent Flask,1
Unguent Jar,2
Unguent Pot,5
Unguent Vase,3
Unguentarium,84
Unifacialleafpoint,2
Unifaciallyworkedpiece,5
Uniserialbarbedpoint,3
Unknown,28223
Unrecorded,1
Uprightingtool,4
Urinal,4
Urine Pipe,2
Urn,181
Utilisedstone,1
Utilitycloth,15
Vacuum Flask,2
Vajra,4
Valari,1
Valve,1
Vambrace,1
Varnishsample,2
Vase,1498
Vase Label,1
Vaulting Tube,1
Vegetable Dish,2
Vegetalremains,398
Veil,11
Verticaldial,2
Vervel,1
Vessel,5973
Vessel Carrier,2
Vessel Case,5
Vessel Cover,39
Vessel Fitting,55
Vessel Holder,8
Vessel Mould,7
Vessel Stamp,19
Vessel Stand,36
Vest,8
Vestment,13
Vice,1
Video,1
Videocassette,2
Vignette,11
Vinaigrette,2
Vinegar Bottle,1
Viol,3
Violin,7
Violin Bow,4
Visiting Card,1
Visor,3
Visualrepresentation,27
Volgupoint,1
Volutekrater,10
Votivebox,9
Votivefigure,58
Votiveflask,1
Votiveoffering,43
Votivepanel,5
Votiveplaque,86
Votivetank,3
Voucher,7
Wadding,1
Wafering Tongs,1
Wagon,2
Waist Band,113
Waist Clasp,3
Waist Cloth,25
Waist Mat,14
Waist Ornament,46
Waist Pendant,2
Waist Ring,2
Waist String,1
Waist Tie,5
Waistcoat,70
Wakizashi,36
Wakizashi Sheath,6
Walking Stick,9
Wall,5
Wall Bracket,1
Wall Hanging,19
Wall Lamp,1
Wall Medallion,1
Wall Nail,4
Wall Ornament,6
Wall Painting,32
Wall Plaque,25
Wall Tile,19
Wallclock,8
Wallcone,21
Wallet,12
Wallmosaic,1
Wallpanel,27
Wallpaper,1
Wallvase,1
Wampum,6
Wand,22
Wandering Hourwatch,4
Warming Pan,1
Warping Frame,4
Warri Board,1
Washer,2
Washing Bowl,2
Wassail Bowl,1
Waster,38
Watch,303
Watch Case,22
Watch Case Opener,1
Watch Chain,13
Watch Chainpendant,2
Watch Component,23
Watch Cover,1
Watch Fob,1
Watch Paper,11
Watchmainspringgauge,1
Watchwheelgauge,1
Water Bag,11
Water Barrel,1
Water Bottle,43
Water Bottle Stand,1
Water Bowl,2
Water Carrier,3
Water Container,5
Water Cooler,1
Water Dropper,4
Water Ewer,23
Water Filter,2
Water Flask,6
Water Jar,36
Water Jar Stand,2
Water Jug,9
Water Pipe,60
Water Pot,53
Water Pourer,3
Water Scoop,1
Water Spray,1
Water Sprinkler,3
Water Storage Vessel,2
Water Strainer,1
Water Vessel,90
Water Wheel,1
Waterclock,1
Watering Pot,6
Wax Holder,1
Wayangklitik,2
Waywiser,2
Weapon,69
Weapon Mould,3
Weatherforecaster,1
Weaving Batten,7
Weaving Peg,3
Weaving Stick,3
Weaving Tablet,8
Weavingequipment,29
Weavingsample,6
Wedding Chest,2
Wedding Cup,1
Wedding Dress,2
Wedding Knife,3
Wedding Ring,7
Wedding Veil,2
Wedge,47
Weight,333
Weight Box,1
Well Head,2
Well Winder,1
Wheel,16
Wheel Barometer,1
Wheel Cutter,2
Whetstone,181
Whip,86
Whip Sling,3
Whisk,34
Whisk Holder,1
Whisky Decanter,1
Whistle,263
Whistle Mould,1
Wick,1
Wick Holder,1
Wick Puller,1
Wig,6
Wig Box,1
Wig Curler,13
Wig Pin,3
Wind Vane,1
Winder,3
Winding Frame,2
Windlass,1
Window,6
Window Frame,4
Window Glass,11
Window Grille,5
Window Pane,2
Wine Bottle,13
Wine Cooler,9
Wine Cup,10
Wine Ewer,3
Wine Funnel,1
Wine Glass,56
Wine Jar,21
Wine Jug,1
Wine Ladle,1
Wine Strainer,6
Wine Taster,4
Wine Vessel,3
Wineskin,1
Winnower,2
Winnowing Basket,1
Winnowing Fan,1
Winnowing Tray,5
Wire Gauge,2
Witch Ball,1
Woodenwatch,1
Wool Weight,3
Work Basket,3
Work Box,10
Work Shirt,1
Workedantlerfragment,1
World Timeclock,1
World Timewatch,1
Wrap,10
Wrapper,41
Wrapping,49
Wrapping Paper,2
Wreath,5
Wrench,9
Wrist Band,6
Wrist Chronograph,5
Wrist Clasp,20
Wrist Guard,29
Wrist Knife,8
Wrist Ornament,7
Wrist Rest,9
Wrist Watch,55
Writing Box,8
Writing Brush,10
Writing Case,3
Writing Paper,8
Writing Set,3
Writing Slope,1
Writing Tablet,52
Xuanji,1
Xylophone,28
Xylophone Beater,9
Yamstick,2
Yan,1
Yantra,7
Yard Of Ale Glass,1
Yarn,26
Yarn Winder,3
Yashmak,1
Yataghan,2
Year Goingclock,1
Yo Yo,1
Yoke,15
Yuhuchunping,1
Yurt,3
Zarf,3
Zischagge,2
Zither,28
Zoomorphicbrooch,5
