State_name,Counts,People_per_museum,Museums_per_100k,Population,Area_km2,Museums_per_km2
North Lanarkshire,7.0,48714.0,2.05279796362442,340998.0,469.9915,0.0149
North Lincolnshire,10.0,16968.0,5.893446487505893,169680.0,846.5402,0.0118
North Somerset,6.0,36121.0,2.7684726336480163,216726.0,373.7493,0.0161
North Tyneside,4.0,52242.0,1.914168676543777,208968.0,82.3005,0.0486
North Yorkshire,63.0,8309.666666666666,12.034177062858518,523509.0,8654.0,0.0073
Northamptonshire,38.0,20664.157894736843,4.839297130296801,785238.0,236400.55,0.0002
Northumberland,44.0,7286.0,13.72495196266813,320584.0,5019.897800000001,0.0088
Nottingham,13.0,24895.0,4.016870857601928,323635.0,74.6134,0.1742
Nottinghamshire,26.0,31724.0,3.152187618207036,824824.0,2160.0,0.012
Oldham,2.0,121044.0,0.8261458643138033,242088.0,142.3448,0.0141
Orkney,13.0,1692.0,59.1016548463357,21996.0,990.0,0.0131
Oxfordshire,58.0,12505.051724137931,7.996768202643621,725293.0,2605.0,0.0223
Pembrokeshire,19.0,6493.0,15.401201293700908,123367.0,1618.3444,0.0117
Perthshire and Kinross,18.0,8378.0,11.936022917164,150804.0,5286.0,0.0034
Peterborough,6.0,35945.0,2.782028098483795,215670.0,343.3782,0.0175
Plymouth,5.0,52939.0,1.8889665464024632,264695.0,79.8496,0.0626
Portsmouth,12.0,17334.0,5.769008884273681,208008.0,40.3816,0.2972
Powys,25.0,5327.0,18.772292096865023,133175.0,5180.6708,0.0048
Reading,4.0,43556.0,2.2958949398475523,174224.0,40.3979,0.099
Redbridge,1.0,310260.0,0.3223103203764584,310260.0,56.4035,0.0177
Redcar and Cleveland,6.0,22755.0,4.394638540980004,136530.0,245.0696,0.0245
Renfrewshire,7.0,26257.0,3.808508207335187,183799.0,261.49080000000004,0.0268
"Rhondda, Cynon, Taff",6.0,39609.0,2.524678734631018,237654.0,424.0,0.0142
Richmond upon Thames,16.0,12205.0,8.19336337566571,195280.0,57.3937,0.2788
Rochdale,4.0,55943.0,1.7875337396993367,223772.0,158.1283,0.0253
Rotherham,3.0,88602.0,1.12864269429584,265806.0,286.5344,0.0105
Rutland,3.0,13683.0,7.308338814587444,41049.0,381.8311,0.0079
Salford,4.0,67481.0,1.4818986084972066,269924.0,97.1974,0.0412
Sandwell,7.0,48833.0,2.0477955480924783,341831.0,85.55879999999999,0.0818
Scottish Borders,33.0,3542.0,28.2326369282891,116886.0,4731.7677,0.007
Sefton,4.0,69808.0,1.4325005730002291,279232.0,156.5785,0.0255
Sheffield,14.0,39752.0,2.51559669953713,556528.0,367.9302,0.0381
Shetland Islands,17.0,1347.0,74.23904974016332,22899.0,1467.4775,0.0116
Shropshire,23.0,14070.0,7.107320540156361,323610.0,3197.2756,0.0072
Slough,1.0,158500.0,0.6309148264984227,158500.0,32.5421,0.0307
Solihull,3.0,72080.0,1.3873473917869037,216240.0,178.282,0.0168
Somerset,47.0,12160.404255319148,8.223410825857904,571539.0,3452.0,0.0136
South Ayrshire,9.0,12400.0,8.064516129032258,111600.0,1222.2264,0.0074
South Gloucestershire,8.0,36303.0,2.754593284301573,290424.0,497.0508,0.0161
South Lanarkshire,13.0,25169.0,3.973141563033891,327197.0,1771.8859,0.0073
South Tyneside,4.0,36944.0,2.7067994802944995,147776.0,64.4205,0.0621
Southampton,6.0,41487.0,2.4103936172777014,248922.0,49.8807,0.1203
Southend-on-Sea,6.0,30114.0,3.320714617785747,180684.0,41.6742,0.144
Southwark,18.0,17091.0,5.851032707272834,307638.0,28.8765,0.6233
Staffordshire,40.0,21902.4,4.565709693914823,876096.0,2713.0,0.0147
Stirling,6.0,15433.0,6.479621590099139,92598.0,2186.1581,0.0027
Stockport,6.0,49129.0,2.035457672657697,294774.0,126.0404,0.0476
Stockton-on-Tees,1.0,196595.0,0.5086599354001882,196595.0,204.9332,0.0049
Stoke-on-Trent,9.0,28707.0,3.483470930435085,258363.0,93.4485,0.0963
Suffolk,63.0,12074.253968253968,8.282085192420446,760678.0,,
Sunderland,7.0,39167.0,2.55316976025736,274169.0,137.4364,0.0509
Surrey,40.0,30078.025,3.324686378178088,1203121.0,316.41,0.1264
Sutton,4.0,52410.0,1.9080328181644728,209640.0,43.84270000000001,0.0912
Swansea,7.0,34070.0,2.93513354857646,238490.0,377.6145,0.0185
Swindon,7.0,33344.0,2.9990403071017275,233408.0,230.09330000000003,0.0304
Tameside,4.0,57768.0,1.7310621797534969,231072.0,103.1542,0.0388
Telford and Wrekin,11.0,16867.0,5.928736586233473,185537.0,290.3137,0.0379
Thurrock,4.0,44000.0,2.2727272727272725,176000.0,163.8371,0.0244
Torbay,7.0,19903.0,5.024368185700648,139321.0,62.8869,0.1113
Torfaen,5.0,18455.0,5.41858574911948,92275.0,125.6984,0.0398
Tower Hamlets,13.0,23870.0,4.189359028068705,310310.0,19.771,0.6575
Trafford,4.0,58763.0,1.7017511018838385,235052.0,106.0447,0.0377
Vale of Glamorgan,4.0,32985.0,3.031681067151736,131940.0,331.1487,0.0121
Wakefield,12.0,29447.0,3.395931673854722,353364.0,338.6197,0.0354
Walsall,4.0,71031.0,1.4078360152609424,284124.0,103.9736,0.0385
Waltham Forest,3.0,92809.0,1.077481709747977,278427.0,38.8082,0.0773
Wandsworth,4.0,81877.0,1.22134421143911,327508.0,34.257,0.1168
Warrington,6.0,35162.0,2.843979295830726,210972.0,180.628,0.0332
Warwickshire,39.0,15302.102564102564,6.5350496496208,596782.0,1980.0,0.0197
West Berkshire,4.0,40362.0,2.4775779198255785,161448.0,704.1828999999999,0.0057
West Dunbartonshire,4.0,22100.0,4.524886877828054,88400.0,158.7649,0.0252
West Lothian,11.0,16482.0,6.067224851352991,181302.0,427.7393,0.0257
West Sussex,42.0,21016.04761904762,4.758268624656441,882674.0,1991.0,0.0211
Westminster,43.0,4750.0,21.05263157894737,204250.0,21.4771,2.0021
Wigan,4.0,82333.0,1.214579816112616,329332.0,188.1709,0.0213
Wiltshire,42.0,12151.0,8.229775327133568,510342.0,3255.338,0.0129
Windsor and Maidenhead,9.0,17055.0,5.8633831720902965,153495.0,196.5017,0.0458
Wokingham,4.0,44376.0,2.253470344330269,177504.0,178.96900000000002,0.0224
Wolverhampton,5.0,52745.0,1.8959143046734288,263725.0,69.4366,0.072
Worcestershire,32.0,18864.75,5.300891875057978,603672.0,1741.0,0.0184
Wrexham,10.0,13512.0,7.400828892835997,135120.0,503.7737,0.0199
York,24.0,8451.0,11.832919181161992,202824.0,271.9312,0.0883
